,budget,imdb_id,revenue
0,200000000,tt0383574,1065659812
1,55000000,tt0454921,307077295
2,125000000,tt0382625,767820459
3,150000000,tt0381061,599045960
4,120000000,tt0317219,461983149
5,65000000,tt0416449,422610419
6,54000000,tt0434409,132511035
7,35000000,tt0458352,326551094
8,25000000,tt0449467,135330182
9,80000000,tt0438097,660940780
10,40000000,tt0482571,109676311
11,55000000,tt0450232,65664721
12,110000000,tt0477347,574480841
13,50000000,tt0384537,97607453
14,50000000,tt0401855,111340801
15,40000000,tt0410297,114830111
16,12000000,tt0462590,114194847
17,90000000,tt0407887,289847354
18,150000000,tt0317919,397850012
19,100000000,tt0450259,170877916
20,300000000,tt0449088,961000000
21,3500000,tt0804507,54947
22,150000000,tt0373889,938212738
23,150000000,tt0382932,623722818
24,70000000,tt0486655,135560026
25,25000000,tt0477348,171600000
26,110000000,tt0337978,383531464
27,258000000,tt0413300,890871626
28,85000000,tt0461770,340487652
29,130000000,tt0486576,289047763
30,110000000,tt0259324,228738393
31,65000000,tt0443706,84785914
32,150000000,tt0480249,585349010
33,15000000,tt0758758,56255142
34,40000000,tt0758730,41797066
35,75000000,tt0462538,527068851
36,20000000,tt0486822,117760134
37,61000000,tt0822854,95696996
38,20000000,tt0368794,4001121
39,185000000,tt0468569,1004558444
40,37000000,tt1099212,392616625
41,140000000,tt0371746,585174222
42,180000000,tt0910970,521311860
43,130000000,tt0441773,631744560
44,150000000,tt0421715,333932083
45,33000000,tt1205489,269958228
46,75000000,tt0493464,258270008
47,200000000,tt0830515,586090727
48,32000000,tt0976051,113019290
49,45000000,tt0373051,101702060
50,60000000,tt0494238,57490374
51,41677699,tt0876563,187479518
52,55000000,tt0814314,168167691
53,150000000,tt0800080,163712074
54,185000000,tt0367882,786636033
55,20000000,tt1023111,41627431
56,225000000,tt0499448,419651413
57,80000000,tt1059786,178066569
58,85000000,tt0411477,160388063
59,237000000,tt0499549,2787965087
60,50000000,tt1259571,709827462
61,175000000,tt1049413,735099082
62,90000000,tt0988045,524028679
63,250000000,tt0417741,933959197
64,70000000,tt0361748,319131050
65,150000000,tt0808151,356613439
66,150000000,tt0796366,385680446
67,200000000,tt0438488,371353001
68,130000000,tt0409459,185258983
69,35000000,tt1119646,459270619
70,90000000,tt1080016,886686817
71,5000000,tt1182345,9760104
72,30000000,tt1127180,90810892
73,65000000,tt0380510,93525586
74,200000000,tt1190080,769653595
75,32000000,tt0898367,27635305
76,150000000,tt1078912,413106170
77,30000000,tt1136608,210819611
78,160000000,tt1375666,825532764
79,69000000,tt1323594,543513985
80,68000000,tt1325004,698491347
81,250000000,tt0926084,954305868
82,200000000,tt1014759,1025491110
83,200000000,tt1228705,623933331
84,28000000,tt1250777,96188903
85,13000000,tt0947798,327803731
86,40000000,tt1285016,224920315
87,80000000,tt1130884,294804195
88,100000000,tt1243957,278731369
